"","SystemId","SystemName","AgeScore","CalmarScore","CalmarMessage","SharpeScore","StatValueVal","Score","i.CalmarMessage","C2Score"
"1",11954158,"Equity Strategies",9,4,"",1,0.1,4,"",1000
"2",605750,"MWI Trend Trader",10,4,"",1,0.09,4,"",6.25
"3",611702,"Fundamental w/ Frac timing",10,4,"",1,0.11,4,"",6.25
"4",9861744,"Daily Swing",9,6,"",1,3.16,6,"",6.25
"5",31344808,"TraderW ES Daytrader I",7,10,"Too high Calmar value 11.6",1,11.6,10,"Too high Calmar value 11.6",6.25
"6",9929308,"ExchangeTrader Sys 100",9,5,"",1,2.7,5,"",6
"7",9958690,"Advance Option Trading",9,5,"",1,2.52,5,"",6
"8",16848307,"DeltaPro FX",8,7,"",1,4.7,7,"",6
"9",17010903,"Tfx-Lahar",8,7,"",1,5.95,7,"",6
"10",17552569,"Forex for a living-DT",8,7,"",1,5.37,7,"",6
"11",17690290,"Pip Hunter",8,7,"",1,5.44,7,"",6
"12",985251,"Bit by bit",9,4,"",1,-0.11,4,"",5.75
"13",1229540,"Alpha Ultra",9,4,"",1,0.06,4,"",5.75
"14",1439804,"Ulrich Trading",9,4,"",1,0.06,4,"",5.75
"15",1517445,"PureTrade",9,4,"",1,0.07,4,"",5.75
"16",1634557,"Capital Flow Indications",9,4,"",1,0.26,4,"",5.75
"17",1724511,"Spectrum",9,4,"",1,0.13,4,"",5.75
"18",2191183,"Failed-2",9,4,"",1,0.09,4,"",5.75
"19",2353378,"Wired Daytrader SP/Dow/Nasdaq",9,4,"",1,0.08,4,"",5.75
"20",2974464,"Binary Wave 6",9,4,"",1,0.12,4,"",5.75
"21",4874270,"CF Apex Systems",9,4,"",1,0.08,4,"",5.75
"22",7866997,"Wired Daytrader Neo System",9,4,"",1,0.01,4,"",5.75
"23",7882924,"Backtester",9,4,"",1,0,4,"",5.75
"24",8357223,"STD Stock",9,4,"",1,0.08,4,"",5.75
"25",8895841,"WEEKLY SP500 STOCK PREDICTING (MID RISK)",9,4,"",1,0.07,4,"",5.75
"26",9304486,"UpTrend Picks",9,4,"",1,0.16,4,"",5.75
"27",9700583,"Pinnacle Trading",9,4,"",1,-0.74,4,"",5.75
"28",9752292,"TrendCatcher",9,4,"",1,0.07,4,"",5.75
"29",9804384,"Matrix Mania",9,4,"",1,0.26,4,"",5.75
"30",9804882,"Alpha Trend Opportunity Fund",9,4,"",1,0.13,4,"",5.75
"31",9846701,"SlickTrades",9,4,"",1,0.08,4,"",5.75
"32",9848374,"Riskarb HighSharpe",9,4,"",1,0.16,4,"",5.75
"33",9849718,"Black Tulip of the South Sea",9,4,"",1,-0.71,4,"",5.75
"34",9870275,"Astro-U",9,4,"",1,-0.73,4,"",5.75
"35",9873139,"Investing4All Stock Trades",9,4,"",1,0.68,4,"",5.75
"36",9878364,"SP 100 Tracking",9,4,"",1,0.05,4,"",5.75
"37",9881110,"NASDAQ QQQ",9,4,"",1,0.05,4,"",5.75
"38",9893222,"SP 500 Cash Index",9,4,"",1,0.01,4,"",5.75
"39",9906292,"NASDAQ NDX",9,4,"",1,0.09,4,"",5.75
"40",9929439,"Red Belly Piranha Trading System",9,4,"",1,0,4,"",5.75
"41",9943114,"Power Trade GX2",9,4,"",1,0.23,4,"",5.75
"42",9943999,"SP 500 E-mini",9,4,"",1,0.22,4,"",5.75
"43",9996689,"Investing4All Single Day Futures",9,4,"",1,0.02,4,"",5.75
"44",10008848,"Fuel Matrix",9,4,"",1,0.12,4,"",5.75
"45",10014916,"Capitalist Pig I salute you Sir!",9,4,"",1,-0.06,4,"",5.75
"46",10032739,"StockTrader Sys 100",9,4,"",1,-0.07,4,"",5.75
"47",10038329,"Growth/Capital Preservation",9,4,"",1,0.06,4,"",5.75
"48",10054822,"THE RUNNER (sp500 e-mini-)",9,4,"",1,-0.14,4,"",5.75
"49",10055409,"THE SCALPER (sp500 e-mini)",9,4,"",1,0.12,4,"",5.75
"50",10067316,"Long-Term Currency Trends/LTCT/",9,4,"",1,0.12,4,"",5.75
"51",10083608,"qqq breadth",9,4,"",1,-0.05,4,"",5.75
"52",10101930,"AfterShock",9,4,"",1,0.05,4,"",5.75
"53",10154910,"Traders-Observer.com",9,4,"",1,0.21,4,"",5.75
"54",10165668,"WAXTRADERS STOCK PICK$",9,4,"",1,0,4,"",5.75
"55",10222898,"MACD test",9,4,"",1,-0.18,4,"",5.75
"56",10223530,"Angle D Swing",9,4,"",1,-0.13,4,"",5.75
"57",10235312,"Futures and Foreign Exchange Trader",9,4,"",1,-0.09,4,"",5.75
"58",10256389,"Mine4Wealth",9,4,"",1,-0.04,4,"",5.75
"59",10269945,"Jesse's Futures",9,4,"",1,0,4,"",5.75
"60",10270821,"askSlim e-Mini SP Cycle Day Trader",9,4,"",1,0,4,"",5.75
"61",10271123,"askSlim 10-yr & 30 yr Cycle Swing Trader",9,4,"",1,0.04,4,"",5.75
"62",10282820,"fx",9,4,"",1,0.15,4,"",5.75
"63",10321963,"challenge one",9,4,"",1,-0.02,4,"",5.75
"64",10339626,"fibo cycles and time",9,4,"",1,-0.25,4,"",5.75
"65",10339756,"Lets make lots of money!",9,4,"",1,-0.17,4,"",5.75
"66",10339805,"Lunch is for Wimps!",9,4,"",1,0.03,4,"",5.75
"67",10355450,"Astro-U2",9,4,"",1,-0.08,4,"",5.75
"68",10365994,"Market-Time",9,4,"",1,0,4,"",5.75
"69",10382504,"Forexman",9,4,"",1,0.07,4,"",5.75
"70",10405658,"HiddenDragon Small-Cap Value Stocks",9,4,"",1,0.05,4,"",5.75
"71",10492568,"HiddenDragon Small-Cap Momentum Stocks",9,4,"",1,0.02,4,"",5.75
"72",10494403,"DMI/ADX based method",9,4,"",1,0.3,4,"",5.75
"73",10514596,"happy trading A",9,4,"",1,0,4,"",5.75
"74",10518455,"ANGLE D",9,4,"",1,0,4,"",5.75
"75",10526009,"HiddenDragon Small-Cap Growth Stocks",9,4,"",1,0,4,"",5.75
"76",10526902,"HiddenDragon Large-Cap Growth Stocks",9,4,"",1,-0.03,4,"",5.75
"77",10541250,"S&P 500 Hillo",9,4,"",1,0.34,4,"",5.75
"78",10580538,"Best Fly",9,4,"",1,-0.08,4,"",5.75
"79",10591279,"Simple 5-Day Stock System",9,4,"",1,-0.74,4,"",5.75
"80",10630177,"glassomilk",9,4,"",1,0,4,"",5.75
"81",10673047,"WEEKLY HOT STOKS",9,4,"",1,0.04,4,"",5.75
"82",10682642,"Astro-U3",9,4,"",1,-0.54,4,"",5.75
"83",10909851,"Portfolio System",9,4,"",1,0,4,"",5.75
"84",10982676,"3DaysTradings",9,4,"",1,-0.04,4,"",5.75
"85",11006384,"Astro-4U",9,4,"",1,-0.14,4,"",5.75
"86",11007839,"TRADERSAFFILIATES",9,4,"",1,-0.04,4,"",5.75
"87",11049201,"ESt15",9,4,"",1,-0.09,4,"",5.75
"88",11070665,"TestSystem",9,4,"",1,-0.12,4,"",5.75
"89",11118552,"* PROFIT SNIPERS * Professional Trading",9,4,"",1,0.35,4,"",5.75
"90",11136485,"Test short2mid senti",9,4,"",1,0.51,4,"",5.75
"91",11178436,"FOOLISH TRADER",9,4,"",1,-0.06,4,"",5.75
"92",11186797,"Sound Stock Strategies for any market",9,4,"",1,-0.74,4,"",5.75
"93",11193958,"G-Force",9,4,"",1,-0.05,4,"",5.75
"94",11219856,"FDAXHunter",9,4,"",1,-0.02,4,"",5.75
"95",11314982,"Money for Nothing",9,4,"",1,-0.17,4,"",5.75
"96",11353985,"Astro-Timeline",9,4,"",1,0,4,"",5.75
"97",11390517,"***DailyWinner***",9,4,"",1,0.04,4,"",5.75
"98",11458119,"Failed-1",9,4,"",1,0,4,"",5.75
"99",11486111,"Global Macro",9,4,"",1,-0.13,4,"",5.75
"100",11500715,"MMAOld",9,4,"",1,-0.07,4,"",5.75
"101",11517544,"Astro-Gold-Timer",9,4,"",1,0,4,"",5.75
"102",11550354,":LT BV 20040709",9,4,"",1,-0.01,4,"",5.75
"103",11552154,"Resistance",9,4,"",1,0.01,4,"",5.75
"104",11593083,"Raiding Party",9,4,"",1,-0.07,4,"",5.75
"105",11593106,"Trap Door",9,4,"",1,0.34,4,"",5.75
"106",11624716,"Slapshot",9,4,"",1,-0.06,4,"",5.75
"107",11630583,"50Dollar",9,4,"",1,0.1,4,"",5.75
"108",11630762,"BPS Monthly Income",9,4,"",1,0.08,4,"",5.75
"109",11662416,"BOUNCE",9,4,"",1,-0.06,4,"",5.75
"110",11664413,"R.I.P.",9,4,"",1,0,4,"",5.75
"111",11670726,"Escalade System",9,4,"",1,0,4,"",5.75
"112",11695507,"Rebound LS",9,4,"",1,-0.05,4,"",5.75
"113",11711100,"Rebound",9,4,"",1,-0.12,4,"",5.75
"114",11716493,"Perfection of the time",9,4,"",1,0,4,"",5.75
"115",11725906,"Phoenix Stocks",9,4,"",1,0.12,4,"",5.75
"116",11731542,"Barbell Stocks",9,4,"",1,0.19,4,"",5.75
"117",11743165,"z-abandoned-system-b",9,4,"",1,-0.72,4,"",5.75
"118",11744800,"z-abandoned-system-a",9,4,"",1,0.13,4,"",5.75
"119",11745873,"FR_US-Stocks",9,4,"",1,-0.11,4,"",5.75
"120",11746462,"Equity Pairs",9,4,"",1,-0.07,4,"",5.75
"121",11784686,"Pejman's Method",9,4,"",1,0,4,"",5.75
"122",11803952,"Pejman's Gold and Silver",9,4,"",1,0,4,"",5.75
"123",11813314,"P20",9,4,"",1,-0.03,4,"",5.75
"124",11822738,"Chameleon UMPIX-UIPIX",9,4,"",1,0,4,"",5.75
"125",11825802,"RatioOptions",9,4,"",1,0.01,4,"",5.75
"126",11832071,"Grain & Livestock Swing I",9,4,"",1,-0.04,4,"",5.75
"127",11836773,"Chameleon YHOO",9,4,"",1,0,4,"",5.75
"128",11836873,"Stocks by Cara",9,4,"",1,0,4,"",5.75
"129",11847932,"CatorFork Dow",9,4,"",1,0,4,"",5.75
"130",11852190,"Mutual Fund Trader",9,4,"",1,0.02,4,"",5.75
"131",11886841,"Stark",9,4,"",1,0,4,"",5.75
"132",11917282,"Trade Fury",9,4,"",1,-0.03,4,"",5.75
"133",11933545,"QQQ Qptions",9,4,"",1,0,4,"",5.75
"134",12007379,"System 1200737",9,4,"",1,-0.01,4,"",5.75
"135",12084590,"Adaptivity",9,4,"",1,0,4,"",5.75
"136",12111232,"Profit Trader",9,4,"",1,-0.06,4,"",5.75
"137",12159966,"Picks N' Shovels",9,4,"",1,-0.01,4,"",5.75
"138",12229171,"MT Diversified Trend Program",9,4,"",1,0,4,"",5.75
"139",12296469,"Profitable S&P 500 emini trading",9,4,"",1,0.09,4,"",5.75
"140",12314223,"NotMeNotMe System",9,4,"",1,-0.36,4,"",5.75
"141",12368074,"Emini Matrix",9,4,"",1,0.09,4,"",5.75
"142",12372463,"forex1",9,4,"",1,0.08,4,"",5.75
"143",12372679,"forex2",9,4,"",1,0.02,4,"",5.75
"144",12379827,"aleca signals",9,4,"",1,0.56,4,"",5.75
"145",12379992,"Novato System",9,4,"",1,0.13,4,"",5.75
"146",12454896,"Market-Time  (futures)",9,4,"",1,-0.09,4,"",5.75
"147",12509758,"Equities Visualized",9,4,"",1,0.07,4,"",5.75
"148",12513329,"Long Since Closed",9,4,"",1,0.09,4,"",5.75
"149",12614653,"SOEC Trading System",9,4,"",1,0,4,"",5.75
"150",12622534,"Sandpit",9,4,"",1,0.03,4,"",5.75
"151",12762551,"GSK",9,4,"",1,-0.13,4,"",5.75
"152",12781162,"Stocks 1",9,4,"",1,0,4,"",5.75
"153",12801517,"Genesis",9,4,"",1,0.01,4,"",5.75
"154",12856484,"MAST System Test",9,4,"",1,0,4,"",5.75
"155",12856498,"Trend Change Test",9,4,"",1,-0.13,4,"",5.75
"156",12890509,"ShunxinNQ dayTrade",9,4,"",1,0,4,"",5.75
"157",12963364,"www.tradersaffiliates.com",9,4,"",1,-0.12,4,"",5.75
"158",12964930,"Dave's Trader1688 ATM",9,4,"",1,0.03,4,"",5.75
"159",12965968,"QQQQ Trend System",9,4,"",1,0,4,"",5.75
"160",12966099,"IFT-SPY",9,4,"",1,-0.01,4,"",5.75
"161",12966165,"IFT-Stocks",9,4,"",1,-0.07,4,"",5.75
"162",12994246,"YARD SALE",9,4,"",1,-0.01,4,"",5.75
"163",13009465,"xAndromeda - (Closed)",9,4,"",1,0,4,"",5.75
"164",13026428,"VENICE-ES",9,4,"",1,0,4,"",5.75
"165",13054043,"dgamma",9,4,"",1,0.09,4,"",5.75
"166",13101624,"BTS Bottle Rockets",9,4,"",1,0,4,"",5.75
"167",13109714,"BTS Small Cap Value",9,4,"",1,0,4,"",5.75
"168",13155914,"GARP  with Upward Momentum",9,4,"",1,0,4,"",5.75
"169",13187017,"ETF Volatility",9,4,"",1,0.05,4,"",5.75
"170",13193783,"Alpha-FX",9,4,"",1,-0.03,4,"",5.75
"171",13196319,"Daytrading WIZ",9,4,"",1,0,4,"",5.75
"172",13202557,"extreme-os",9,4,"",1,0.21,4,"",5.75
"173",13211960,"Tortoise Mutual Funds",9,4,"",1,-0.09,4,"",5.75
"174",13215708,"Dave's Trader1688 Option Extreme",9,4,"",1,0,4,"",5.75
"175",13215719,"Dave's test system",9,4,"",1,0,4,"",5.75
"176",13221873,"Rebound Index Trader (Rydex)",9,4,"",1,0,4,"",5.75
"177",13239664,"TIDAL FX",9,4,"",1,0,4,"",5.75
"178",13240358,"Dave's Goofiz Option",9,4,"",1,0.01,4,"",5.75
"179",13242277,"VIVALDI Seasonal Trends",9,4,"",1,0,4,"",5.75
"180",13251123,"LaoDao's Rebounce Play",9,4,"",1,-0.11,4,"",5.75
"181",13296350,"Surfing the Moving Average",9,4,"",1,0,4,"",5.75
"182",13296368,"Test System Surfing the Moving Average",9,4,"",1,0,4,"",5.75
"183",13305397,"Bear Trading",9,4,"",1,-0.19,4,"",5.75
"184",13315263,"QQQQ A-and-O",9,4,"",1,-0.12,4,"",5.75
"185",13319438,"Commodities Plus",9,4,"",1,0.01,4,"",5.75
"186",13322598,"Blindpiu",9,4,"",1,0,4,"",5.75
"187",13344905,"QQQQ-Alpha",9,4,"",1,0.34,4,"",5.75
"188",13359895,"InformedTrader.net Index Futures & Long Term Commodity Buys",9,4,"",1,0,4,"",5.75
"189",13366203,"Blast-Off",9,4,"",1,0.01,4,"",5.75
"190",13386705,"ROD SYSTEM",9,4,"",1,0,4,"",5.75
"191",13406169,"Test System 3",9,4,"",1,-0.02,4,"",5.75
"192",13406200,"Test System 2",9,4,"",1,0,4,"",5.75
"193",13406249,"Test system 1",9,4,"",1,0,4,"",5.75
"194",13406293,"CTS CLC System",9,4,"",1,0.15,4,"",5.75
"195",13406329,"Test HighLow System",9,4,"",1,0,4,"",5.75
"196",13406381,"CTS SnapBack System",9,4,"",1,0.09,4,"",5.75
"197",13406459,"CTS Treasury Trader",9,4,"",1,0.31,4,"",5.75
"198",13416014,"HiLo Not active",9,4,"",1,-0.02,4,"",5.75
"199",13431447,"Dragon Tale system",9,4,"",1,0,4,"",5.75
"200",13436132,"Conservative Portfolio",9,4,"",1,0.04,4,"",5.75
"201",13441183,"Monthly Picks",9,4,"",1,0.19,4,"",5.75
"202",13460855,"S&P 500 E-Mini Consistent&Stable Perform",9,4,"",1,0,4,"",5.75
"203",13464017,"$HORT TRADING CALL$--stocks only",9,4,"",1,0,4,"",5.75
"204",13478625,"DailyProfits",9,4,"",1,0,4,"",5.75
"205",13513226,"System 13513226",9,4,"",1,0,4,"",5.75
"206",13578048,"Fire Horse Trading",9,4,"",1,0.02,4,"",5.75
"207",13621893,"OEX Trading System Revised",9,4,"",1,-0.01,4,"",5.75
"208",13632718,"GBSCM - Futures",9,4,"",1,0,4,"",5.75
"209",13642915,"Dr.Forex {Advanced Strategy}",9,4,"",1,0,4,"",5.75
"210",13650185,"Eagle",9,4,"",1,0.02,4,"",5.75
"211",13652378,"U S Galla's Wealth Builder",9,4,"",1,0,4,"",5.75
"212",13657193,"GBSCM - Index Futures",9,4,"",1,0,4,"",5.75
"213",13659418,"GBSCM -  Commodities Trend Following",9,4,"",1,0,4,"",5.75
"214",13674748,"Testing System for API",9,4,"",1,0.21,4,"",5.75
"215",13688760,"vicinoo! trading - Daytrading",9,4,"",1,0,4,"",5.75
"216",13742120,"Open-Close $Cashout$ (OCC)",9,4,"",1,0,4,"",5.75
"217",13751189,"Consistently Profitable Trading",9,4,"",1,0,4,"",5.75
